1; 1; 1; 33346
1; 1; 2; 31020
1; 1; 3; 363
1; 1; 4; 33666
1; 1; 5; 32809
1; 1; 6; 28082
1; 1; 7; 4907
1; 1; 8; 6503
1; 1; 9; 31658
1; 1; 10; 1903
1; 1; 11; 2680
1; 1; 12; 20512
1; 1; 13; 562
1; 1; 14; 5682
1; 1; 15; 573
1; 1; 16; 33947
1; 1; 17; 26046
1; 1; 18; 449
1; 1; 19; 7437
1; 1; 20; 2212
1; 1; 21; 34593
1; 1; 22; 15631
1; 1; 23; 1720
1; 1; 24; 5303
1; 1; 25; 32127
1; 1; 26; 23795
1; 1; 27; 2259
1; 1; 28; 28061
1; 1; 29; 7040
1; 1; 30; 2191
1; 1; 31; 2188
1; 1; 32; 0
1; 1; 33; 23728
1; 1; 34; 31461
1; 1; 35; 5202
1; 1; 36; 3205
1; 1; 37; 17201
1; 1; 38; 29921
1; 1; 39; 4748
1; 1; 40; 1771
1; 1; 41; 122
1; 1; 42; 7308
1; 1; 43; 5159
1; 1; 44; 5787
1; 1; 45; 4956
1; 1; 46; 6010
1; 1; 47; 5139
1; 1; 48; 32694
1; 1; 49; 7694
1; 1; 50; 20328
1; 1; 51; 2741
1; 1; 52; 812
1; 1; 53; 7646
1; 1; 54; 4487
1; 1; 55; 22483
1; 1; 56; 7720
1; 1; 57; 27692
1; 1; 58; 701
1; 1; 59; 817
1; 1; 60; 34424
1; 1; 61; 32109
1; 1; 62; 747
1; 1; 63; 811
1; 1; 64; 880
1; 1; 65; 7424
1; 1; 66; 960
1; 1; 67; 5473
1; 1; 68; 23880
1; 1; 69; 23990
1; 1; 70; 1013
1; 1; 71; 34306
1; 1; 72; 935
1; 1; 73; 7083
1; 1; 74; 21094
1; 1; 75; 4088
1; 1; 76; 883
1; 1; 77; 789
1; 1; 78; 1241
1; 1; 79; 6260
1; 1; 80; 23106
1; 1; 81; 1246
1; 1; 82; 4779
1; 1; 83; 1247
1; 1; 84; 15945
1; 1; 85; 30149
1; 1; 86; 26401
1; 1; 87; 1268
1; 1; 88; 5036
1; 1; 89; 1255
1; 1; 90; 24358
1; 1; 91; 22147
1; 1; 92; 15168
1; 1; 93; 1924
1; 1; 94; 24449
1; 1; 95; 28517
1; 1; 96; 26265
1; 1; 97; 6527
1; 1; 98; 4333
1; 1; 99; 26373
1; 1; 100; 4328
1; 1; 101; 4357
1; 1; 102; 1189
1; 1; 103; 24822
1; 1; 104; 27158
1; 1; 105; 30863
1; 1; 106; 26317
1; 1; 107; 19441
1; 1; 108; 6270
1; 1; 109; 20844
1; 1; 110; 3209
1; 1; 111; 6181
1; 1; 112; 17733
1; 1; 113; 1605
1; 1; 114; 14927
1; 1; 115; 31750
1; 1; 116; 33
1; 1; 117; 31833
1; 1; 118; 0
1; 2; 1; 34762
1; 2; 2; 34288
1; 2; 3; 19000
1; 2; 4; 15911
